label,text
1117,"A Phase 1 Clinical Trial to Evaluate the Safety and Immunogenicity of a Prime-boost Vaccine Regimen of GEO-D02 DNA and MVA/HIV62B With and Without B63521^11 gp120 and IHV01 gp120 Env Proteins in Healthy, HIV-uninfected Adult Participants *Imatinib Mesylate Per Oral as a Clinical Therapeutic for TB"
1117,Improving Symptom Management for Survivors of Young Adult Cancer
1117,"Parallel-Group, Randomized-Controlled Trial of Navigation Vs Usual Care for The Management of Delays and Racial Disparities Starting Adjuvant Therapy in Adults With Surgically-Managed, Locally Advanced HNSCC (NDURE 2.0)"
17,Navigation and Parent Peer Support to Promote Access and Retention of Children in Mental Health Services
11,Phase II Study of Induction FLOT Followed by Neoadjuvant Chemoradiation in Patients With Resectable Adenocarcinoma of the Esophagus or Gastroesophageal Junction
1117,IMPAACT 2016 - Evaluating a Group-Based Intervention to Improve Mental Health and Antiretroviral Therapy (ART) Adherence Among Youth Living With HIV in Low Resource Settings
11,Revitalizing Cognition in Older Adults at Risk for Alzheimer's Disease With Near-Infrared Photobiomodulation
17,Innovative Biofeedback Interface for Enhancing Stroke Gait Rehabilitation
1117,Disengagement in CSC: Identifying Those at Risk and Addressing Their Needs
11,Effect of Fasting Free Fatty Acids and Fasting Glucose on 1st and 2nd Phase Insulin Secretion
1117,Protect Yourself: Abuse Prevention for People With Intellectual Disabilities
11,Direct Measurement of Proinsulin Clearance in Humans
11,Assessment of Carboplatin Clearance Predictors: A PK Study on NCI-Sponsored Clinical Trials or Standard of Care Treatments Using Carboplatin
1117,Developing and Testing a Multi-level Package of Interventions for an Integrated Care Delivery Model of HIV Prevention and Treatment Targeting Adolescent Girls in Zambia
2,Family-based eHealth Obesity Prevention Intervention for Hispanic Adolescents
8,Telehealth Behavioral Migraine Management
1117,Comprehensive Health Informatics Engagement Framework for Pulmonary Rehab
1109,The LOW E2 STUDY- Neuroendocrine Risk Mechanisms for Post-traumatic Stress Disorder in Women
1102,Determining the Dose of Regadenoson Most Likely to Transiently Alter the Integrity of the Blood-Brain Barrier in Patients With High Grade Gliomas
1117,Scaling up HIV Prevention Trials Network (HPTN) 074: a Cluster Randomized Implementation Trial of an Evidence-based Intervention for Antiretroviral Therapy for PWID in Vietnam
11,Optimizing Prolonged Treatment in Myeloma Using MRD Assessment (OPTIMUM)
1117,A Text-Based Adherence Game for Young People Living With HIV in Ghana
11,Phase I Study of GSK525762C and Entinostat in Advanced and Refractory Solid Tumors and Lymphomas
1117,A Seamless Phase 2A-B Randomized Double-Blind Placebo-Controlled Trial to Evaluate the Efficacy and Safety of PQ912 in Patients With Early Alzheimer's Disease
1117,NIDA CTN Protocol 0080: Medication Treatment for Opioid Use Disorder in Expectant Mothers (MOMs): Infant Neurodevelopmental Outcomes (INO) Sub-study
8,Communicating Narrative Concerns Entered by RNs (CONCERN) Clinical Decision Support (CDS) System
1117,A Randomized Controlled Trial of Mailed Self-Sample HPV Testing to Increase Cervical Cancer Screening Participation Among Minority/Underserved Women in an Integrated Safety Net Healthcare System
1117,Implementation Fidelity and Benefits of the Critical Care Pediatric Guideline Adherence and Outcomes Program in Traumatic Brain Injury
2,Using a Mixed Methods Approach to Understand Shared Decision-Making in Lung Cancer Screening
11,StAT-TB (Statin Adjunctive Therapy for TB): A Phase 2b Dose-finding Study of Pravastatin in Adults With Tuberculosis
1117,Cluster Randomized Trial of a Mobile Health Intervention to Achieve Appropriate Gestational Weight Gain in Overweight/Obese Women
1117,Health Promotion in the Prevention of Anxiety and Depression: the Happy Older Latinos Are Active (HOLA Study)
1117,Optimizing Bio-behavioral HIV Prevention Approaches for People Who Inject Drugs
1108,Prebiotic GOS and Lactoferrin for Beneficial Gut Microbiota With Iron Supplements
11,Phase II Trial of Daratumumab Retreatment in Patients With Relapsed Multiple Myeloma
1102,A Clinic-Based Case Manager Administered Telephone Intervention to Reduce Cardiovascular Disease Risk in Persons Living With HIV
11,A Randomized Phase II Trial of Concurrent Chemotherapy and Pelvic Radiation Therapy With or Without Paclitaxel and Carboplatin in HIV-positive Women With Locally Advanced Cervical Cancer (LACC)
1102,A Phase 1 Study of MLN7243 (TAK-243) for Either Relapsed/Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome/Chronic Myelomonocytic Leukemia Refractory to Hypomethylating Agents
11,A Phase II Therapeutic Trial of the Use of Dabrafenib and Trametinib in Patients With BRAF V600 Mutation Positive Lesions in Erdheim Chester Disease
1117,Location Initiated Individualized Texts for Adolescent Health (LIITAH)
1117,Home Visitation Enhancing Linkages Project (HELP 2.0)
1109,Human Networks for Behaviors Related to the Expectation of Pain.
1117,Reduce Emotional Symptoms of Insomnia With Smart Treatment
1117,Measurement Training and Feedback System for Implementation of Family Therapy and CBT for Adolescent Externalizing Problems
1117,Location Initiated Individualized Texts for African American Adolescent Health
11,A Phase I/II Drug Withdrawal Study of Alloantigen-Specific Tregs in Liver Transplantation
11,Radiation Enhancement of Local and Systemic Anti-Prostate Cancer Immune Responses
1109,The LUCINDA Trial: LUpron Plus Cholinesterase Inhibition to Reduce Neurological Decline in Alzheimer's
11,A Phase 2 Single-Arm Study of M6620 in Combination With Irinotecan in Patients With Progressive TP53 Mutant Gastric and Gastro-Esophageal Junction Cancer
1117,Prevention of Oral Mucositis After Using Oral Topical Vitamin E Versus Voriconazole and Levofloxacin in Pediatric Cancer Patients Receiving Chemotherapy
11,Phase I Study of Mesenchymal Stromal Cells-Derived Exosomes With KrasG12D siRNA for Metastatic Pancreas Cancer Patients Harboring KrasG12D Mutation
1117,De-Implementing Opioid Use and Implementing Optimal Pain Management Following Dental Extractions
11,A Phase Ib/II Study of Guadecitabine (SGI-110) Plus Nivolumab in Refractory CIMP+ Metastatic Colorectal Cancer
1117,Effect of a Multimodality Intervention to Improve Function and Metabolism in Spinal Cord Injury
11,Effects of Virtual Reality on Pain and Anxiety in Cancer Patients Undergoing Painful Procedures
1117,A Couple-based Antiretroviral Therapy Adherence Intervention for People Who Inject Drugs in Kazakhstan
11,A Phase 1-2 Multi-Center Study to Assess the Efficacy and Safety of Abiraterone Acetate as Adjunctive Therapy in Pre-Pubescent Children With Classic 21-Hydroxylase Deficiency
11,Recombinant Factor VIIa (rFVIIa) for Acute Hemorrhagic Stroke Administered at Earliest Time (FASTEST) Trial
11,Rejuvenation of Aged Muscle Stem Cells Through Exercise
1117,Randomized Trial of a Social Media-Delivered Intervention
1109,Feasibility of Home-Based Neurofeedback to Treat Chemotherapy-Induced Peripheral Neuropathy
1113,Excimer Laser Surgery for Anisometropic Amblyopia
1117,"A Multi-center, Open-label, Non-comparative Study of the Safety and Contraceptive Efficacy of Continuous Daily Oral 10 mg of Ulipristal Acetate (UPA)"
11,Post-Transplant Use of Irradiated Haplo-Allogeneic Cells
11,"A Randomized, Double Blind, Phase I/II Trial of Low-Dose Interlekin-2 Immunotherapy in Established Type 1 Diabetes"
1117,A Mindfulness-based Intervention for Older Women With Low Sexual Desire
1102,"Examining the Knowledge, Attitudes, and Beliefs of Sickle Cell Disease Patients, Parents of Patients With Sickle Cell Disease, and Providers Towards the Integration of CRISPR in Clinical Care"
1117,"An Open-Label, Multiple Ascending Dose Study to Evaluate the Safety and Tolerability of PUL-042 Inhalation Solution in Subjects With Hematologic Malignancies and Recipients of Stem Cell Transplantation"
11,Contrast-enhanced Ultrasound Versus CT Scan for Kidney Stone Patient
1117,Understanding How Cigarette Direct Mail Marketing Influences Smoking Behaviors Among High and Low Socioeconomic Status Young Adult Smokers
1117,Collection of Biological and Environmental Samples and Clinical Data From Anonymous Adult Men and Women for Quality Control and Methods Development and Evaluation (ASCA)
11,Phase III Study of Thyroid Hormones in Prematures
11,A Phase I Study to Evaluate the Pharmacokinetic and Pharmacodynamic Profile of Intramuscular or Subcutaneous Injections of Levonorgestrel Butanoate (LB) for Female Contraception
17,Cognitive Enhancement for Persistent Negative Symptoms in Schizophrenia
1117,Adaptation of the Friendship Bench Mental Health Intervention for HIV-infected Perinatal Women in Lilongwe (Periscope)
1109,Visual and Vestibular Percepts of Motion
1117,ParkinPal: Patient-Centered PD Ambulatory Monitoring System
1117,Investigating Human Papillomavirus (HPV) Infection and HPV-Associated Disease in Indian Men Who Have Sex With Men Who Are HIV-Positive
11,Skeletal Muscle Energetics and Fatiguability in Older Individuals
11,"A Phase IIa (Pilot) Study of Neoadjuvant Chemotherapy With Folinic Acid, 5-FU, Irinotecan and Oxaliplatin (FOLFIRINOX) With Digoxin in Patients With Resectable Pancreatic Cancer"
1117,Decision Making Among Older Adults: the AUTO Study
1117,A Proof-of-Concept Trial on the Effect of Ketamine on Fatigue
1109,Safety and Tolerability of S 48168 (ARM 210) for the Treatment of RYR1-related Myopathies (RYR1-RM)
1109,Autonomic Determinants of Postural Tachycardia Syndrome (Chronic Pilot Study 2)
11,A Pilot Study to Evaluate the Utility of Interim Digital PET/CT in Predicting Outcomes for Locally Advanced Oropharyngeal Cancer
11,"A Phase I/II Study of Azacitidine, Venetoclax, and Gilteritinib for Patients With Acute Myeloid Leukemia or High-Risk Myelodysplastic Syndrome With an Activating FLT3 Mutation"
11,A Randomized Multicenter Phase III Trial Comparing Docetaxel or Hormone Therapy as Second Line Treatment in Patients With Asymptomatic or Oligosymptomatic Metastatic Castration-resistent Prostate Cancer (mCRPC) Progressing After Abiraterone or Enzalutamide.
1117,Standing Balance as the Fifth Vital Sign in Clinical Setting
11,"A Multicenter, Open-Label Feasibility Study of Daratumumab With Dose-Adjusted EPOCH in Newly Diagnosed Plasmablastic Lymphoma"
17,Modulating Stimuli Intensity to Improve Clinical Outcomes in Aphasia Treatment
1109,Neural Correlates of Cognitive Dysfunction in Postural Tachycardia Syndrome
1110,Improving Patient Prioritization During Hospital-homecare Transition: A Mixed Methods Study of a Clinical Decision Support Tool
11,High Frame Rate 3-D Super Resolution Ultrasound Microvascular Imaging
1117,Identifying Modifiable Risk and Protective Factors for Neurocognitive Complications of Pediatric Type 1 Diabetes
11,Transcranial Direct Current Stimulation (tDCS) to Reduce Pain in Patients With Chemotherapy Induced Peripheral Neuropathy: A Pilot Study
1117,Kentucky Communities and Researchers Engaging to Halt the Opioid Epidemic (CARE2HOPE) - UH3 PHASE
11,A Phase 1 Open Label Trial of Intravenous Administration of MVA-BN-Brachyury Vaccine in Patients With Advanced Cancer
11,18F-Fluciclovine PET CT as an Indicator of Therapeutic Response in Metastatic Prostate Carcinoma (M1PCa)
11,Effect of GLP-1 on Microvascular Insulin Responses in Type 1 Diabetes
11,Binimetinib Plus Hydroxychloroquine in KRAS Mutant Pancreatic Cancer
1117,Patient and Physician Perspectives on Non-Alcoholic Fatty Liver Disease (NAFLD)
11,Brain Network Changes Accompanying and Predicting Responses to Pharmacotherapy in OCD
11,"A Phase I Open Label, Dose Escalation Clinical Trial Assessing the Safety, Tolerability, and Feasibility of pNGVL4aCRTE6E7L2 HPV DNA Vaccine Administration Via Intramuscular TriGridTM Electroporation Delivery System to Patients With HPV16-Positive High-Grade Cervical Intraepithelial Neoplasia"
1117,Randomized Trial to Determine Whether eConsent is Non-Inferior to Standard Consent Among Prospective Biobank Participants
1117,Biobehavioral Regulation to Extinguish Smoking While Treating Another Health Risk
1102,PrecISE (Precision Interventions for Severe and/or Exacerbation-Prone Asthma) Network Study
11,Prospective Active Surveillance Versus Surgery in Thyroid Papillary Microcarcinoma
11,Pilot Study of Mepolizumab in Episodic Angioedema With Eosinophilia
1113,Rate of Progression in EYS Related Retinal Degeneration (Pro-EYS)
1102,Phase 2 Open-Label Study of Safety and Efficacy Trial of CXA-10 in Pulmonary Arterial Hypertension
17,Understanding The Effects of Acute Stressors and Negative Emotion on Eating Behavior in Binge-Eating Disorder: The Role of Stressor-Induced Changes in Reward and Cognitive Control
1117,Reinforcer Pathology 1A: Increasing the Temporal Window
1117,Z 31901 - Combination Partner HIV Testing Strategies for HIV-positive and HIV-negative Pregnant Women: A Pilot Study
1102,Positive Airway Pressure for the Treatment of the Obstructive Sleep Apnea Syndrome in Children With Down Syndrome
17,Comparing Cognitive Remediation Approaches for Schizophrenia
1102,"Mental Stress and Myocardial Ischemia After MI: Sex Differences, Mechanisms and Prognosis"
1117,Pioglitazone Treatment for Hyperglycemic Acute Ischemic Stroke: Effects on the Stress-Immune Response
1117,TEMPO: A Feasibility Study of a Therapist-led Program for Parents of Extremely Pre-term Infants
1117,Brain Safe: Consumer Intervention to Reduce Exposure to Drugs Linked to Alzheimer's Disease
11,Diet Intervention as a Prebiotic Treatment for Active Ulcerative Colitis
1109,DiSCERN Phase I - Objective Quality of Life Detection Validation
11,An Investigator-Sponsored Phase 2 Single Arm Trial of Ramucirumab and Pembrolizumab in Patients With EGFR Mutant Non-Small Cell Lung Cancer
11,A Phase I Dose Escalation Trial of Alpha-Tocopheryloxyacetic Acid (α-TEA) in Patients With Treatment Refractory HER2+ Metastatic Breast Cancer
11,A Phase IIa Study of Rintatolimod Plus Pembrolizumab in Refractory Metastatic Colorectal Cancer
2,Increasing Early Infant Male Circumcision Uptake in Zambia: Like Father Like Son
11,Feasibility and Accuracy of Nanosensor-based Cancer Diagnosis at the Point-of-care (Chedza)
11,Percutaneous Cordotomy for Pain Palliation in Advanced Cancer
11,Phase 1 Dose Escalation Study of Systemically Administered IL13Ra2 Chimeric Antigen Receptor (CAR) T Cells After a Nonmyeloablative Conditioning Regimen in Patients With Metastatic Melanoma
1109,Neuronavigation-guided Focused Ultrasound-induced Blood-brain Barrier Opening in Alzheimer's Disease Patients
1117,The International Cohort Study of Children Born to Women Infected With Zika Virus During Pregnancy
11,Reducing the Transition From Acute to Chronic Musculoskeletal Pain Among Older Adults
1110,Personalized Experiences to Inform Improved Communication for Patients With Life Limiting Illness
1117,"A Randomized, Controlled Trial of a Telephone-Based Developmental Care Coordination System"
11,"A Randomized Phase II Study of Regorafenib Followed by Anti-EGFR Monoclonal Antibody Therapy Versus the Reverse Sequencing for Metastatic Colorectal Cancer Patients Previously Treated With Fluoropyrimidine, Oxaliplatin and Irinotecan (REVERCE II)"
11,"A Phase 1, Three-Part, Randomized, Double-Blind, Single and Multiple Subcutaneous Dose Escalation Study to Determine the Safety, Tolerability, and Pharmacokinetics of Rezafungin in Healthy Adult Subjects"
2,Morning Light Treatment for Traumatic Stress: The Role of Amygdala Reactivity
11,Prospective Trial to Analyze Endobronchial Ultrasound-Guided Transbronchial Needle-Aspiration (EBUS-TBNA) Samples Obtained With and Without Suction
1117,Evaluation of an Adaptive Intervention for Weight Loss Maintenance
1102,"A Phase III, Randomised, Open-label, Multicenter International Trial Comparing Ruxolitinib With Either HydRoxycarbamIDe or Interferon Alpha as First Line ThErapy for High Risk Polycythemia Vera"
1117,Wildlife and Wellbeing: An Animal-Assisted Intervention for Veterans With PTSD
11,A Phase 1/2 Study of the Bromodomain Inhibitor Molibresib in Combination With Etoposide/Platinum in Patients With NUT Carcinoma
1109,Neuroinflammation in Obesity
1102,Evaluation of Atomoxetine and Oxybutynin for Obstructive Sleep Apnea in Children With Down Syndrome
11,"A Randomized 3-Arm Phase II Study Comparing 1.) Bendamustine, Rituximab and High Dose Cytarabine (BR/CR) 2.) Bendamustine, Rituximab, High Dose Cytarabine and Acalabrutinib (BR/CR-A), and 3.) Bendamustine, Rituximab and Acalabrutinib (BR-A) in Patients &lt;/= 70 Years Old With Untreated Mantle Cell Lymphoma"
11,"Clinical Feasibility Study, Implantable Tibial Nerve Stimulator (ITNS)"
11,Phase III Trial of Post-Surgical Single Fraction Stereotactic Radiosurgery (SRS) Compared With Fractionated SRS for Resected Metastatic Brain Disease
1117,Obesity and Asthma: Unveiling Metabolic and Behavioral Pathways
1102,Developing Oral LT3 Therapy For Heart Failure With Reduced Ejection Fraction
1109,Neuroimaging Response Inhibition and Salience Attribution Changes During Mindfulness-based Treatment of Human Heroin Addiction
1102,Nicotinamide Riboside as an Enhancer of Exercise Therapy in Hypertensive Older Adults (The NEET Trial)
1117,HEALing Communities Study: Developing and Testing an Integrated Approach to Address the Opioid Crisis
11,Evaluation of the Effect of Adding Magnesium Sulfate Infusion to Ketamine Infusion on Improvement of the Analgesic Efficacy in Cancer Breast Surgeries.
11,A Feasibility and Pilot Study of Combined Treatment Protocol Using Aerobic Exercise and Duloxetine in Older Adults With Symptomatic Knee Osteoarthritis and Comorbid Depression
1102,Developing Oral LT3 Therapy For Heart Failure With Preserved Ejection Fraction
1102,"A Single-Arm, Open-Label, Phase I/II Study of Glasdegib for Sclerotic Chronic Graft-vs-Host Disease"
11,Precision Medicine for Patients With Identified Actionable Mutations at Wake Forest Baptist Comprehensive Cancer Center (WFBCCC): A Pragmatic Trial-
11,"A Phase II Study of TAS-102, Irinotecan and Bevacizumab in Pre-Treated Metastatic Colorectal Cancer (TABAsCO)"
1117,A Digital Intervention to Prevent the Initiation of Opioid Misuse in Adolescents in School-based Health Centers
1117,Influences on Risk Behaviors Among Young Men
1117,"Distress Tolerance and Benzodiazepine Discontinuation in Opioid Agonist Therapy, Phase 2"
1117,A Digital Intervention for HIV Prevention in Black Adolescent Girls
11,Phase Ib/II Trial of Copanlisib in Combination With Trastuzumab and Pertuzumab After Induction Treatment of HER2 Positive (HER2+) Metastatic Breast Cancer (MBC) With PIK3CA Mutation or PTEN Mutation
1117,Expanding College Student Mental Health With Stress Management Mobile Technologies - Campus Wide Study
1109,Brain Plasticity Underlying Acquisition of New Organizational Skills in Children
1117,SPIRIT for Persons With Dementia and Complex Multimorbidity
1117,Electronic Health Record-Enabled Evidence-based Smoking Cessation Quality Improvement Program
1117,Indoor Air Quality and Respiratory Morbidity in School-Aged Children With BPD
1117,A Study to Evaluate the Safety and Feasibility of the Combined Use of Nivolumab With Pemetrexed for the Treatment of Advanced Squamous Cell Carcinoma of the Head and Neck
11,SHAPER: A Phase 1 Study of Losartan and Hypofractionated Radiation Therapy After Induction Chemotherapy for Borderline Resectable or Locally Advanced Pancreatic Cancer
11,"A Phase II Study to Evaluate the Effects of 177Lu-DOTATATE in Patients With Unresectable and Progressive Rare Metastatic Endocrine Carcinomas: Medullary Thyroid Cancer, Parathyroid Carcinoma, Pituitary Carcinoma, and Malignant Pheochromocytoma/Paraganglioma"
1109,"Deep Brain Stimulation (DBS) for Treatment Resistant Depression: Exploration of Local Field Potentials (LFPs) With the Medtronic Summit RC+S ""Brain Radio"" System"
11,Randomized Phase II Trial of Radiotherapy With Concurrent Cisplatin +/- Concurrent Cetuximab for HPV-Positive Oropharyngeal Squamous Cell Carcinoma (OPSCC) in KRAS-Variant Patients
1117,The Effect of an EHealth Coaching Program on Patient Reported Outcomes of Men With Prostate Cancer
1117,Visuocortical Dynamics of Affect-Biased Attention in the Development of Adolescent Depression
1117,"Cross-Sectional Survey of Plasmodium and Other Parasites in Pregnant Women and Infants Around Maferinyah, Guinea"
11,Therapeutic Combination of CLR 131 With External Beam Radiation in Head and Neck Cancer
11,"A Phase 2 Randomized Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of a Single Intrathecal Preoperative Administration of Brivoligide Injection in Patients With a Pain Catastrophizing Scale Score ≥16 Undergoing Mastectomy With Immediate Tissue Expander or Implant Placement"
1106,"Carpometacarpal Osteoarthritis: Towards Identification of Biomechanical, Neuromuscular, and Somatosensory Mechanisms"
1103,Phase 1b Study to Assess the Safety of Neoadjuvant TAS-102 (Lonsurf) With Concurrent Radiation in Previously Untreated Resectable Stage II and Stage III Rectal Cancer
11,Atherosclerosis Intervention With Novel Tissue Selective Estrogen Complex Therapy
1117,Information Visualizations to Facilitate HIV-related Patient-provider Communication in New York City (Info Viz: HIV-NYC)
11,A Phase II Study Using the Administration of Autologous T-Cells Engineered Using the Sleeping Beauty Transposon/Transposase System to Express T-Cell Receptors Reactive Against Mutated Neoantigens in Patients With Metastatic Cancer
1102,Investigation of the Natural Progression of Clonal Hematopoiesis of Indeterminate Potential and Clonal Cytopenia of Undetermined Significance
1117,"Feasibility, Acceptability, & Preliminary Efficacy of Text4Father for Improving Infant & Family Health"
604,Inherited Genetic Susceptibility in Langerhans Cell Histiocytosis (LCH)
1109,Sleep Disturbance and Emotion Regulation Brain Dysfunction as Mechanisms of Neuropsychiatric Symptoms in Alzheimer's Dementia
11,Randomized Controlled Trial of Group-Based Exercise and Behavioral Health Skills Training for Older Adults With Painful Knee Osteoarthritis
1117,"Single-Arm Trial Assessing the Feasibility and Acceptability of Navigation for The Management of Delays and Racial Disparities Starting Adjuvant Therapy in Adults With Surgically-Managed, Locally Advanced HNSCC (NDURE 2.0 Pilot)"
1117,Dutasteride Treatment for Reducing Heavy Drinking in AUD: Predictors of Efficacy
1117,"An Adaptive Intervention to Improve Health, Safety and Empowerment Outcomes Among Immigrant Women With Intimate Partner Violence Experiences"
1106,"A Low-Cost, Collaborative Tool for the Tracking of Youth Activities to Reduce Risk of Physical Injury"
1117,Integrating PrEP Into Family Planning Services at Title X Clinics in the Southeastern US
17,Effect of Pain Catastrophizing on Prescription Opioid Craving
1117,Developing and Testing a Decision Support Tool for Women Making Tubal Sterilization Decisions
11,A Phase I Evaluation of the Safety of Belimumab in People With Idiopathaic CD4 Lymphopenia and Autoantibodies (Phoebe)
11,Use of Trifluridine/Tipiracil and Oxaliplatin as Induction Chemotherapy in Resectable Esophageal and Gastroesophageal Junction (GEJ) Adenocarcinoma
11,"A Phase II, Multicenter, Single-Arm Study of Pemigatinib in Patients With Metastatic or Unresectable Colorectal Cancer Harboring FGFR Alterations"
1117,Randomized Trial of a Leadership and Organizational Change Strategy to Improve the Implementation and Sustainment of Digital Measurement-based Care in Youth Mental Health Services
1117,A Social Media Game to Increase Physical Activity Among Older Adult Women
11,"A Randomized Phase III, Two-Arm Trial of Paclitaxel/Carboplatin/Maintenance Letrozole Versus Letrozole Monotherapy in Patients With Stage II-IV, Primary Low-Grade Serous Carcinoma of the Ovary or Peritoneum"
11,Adjunctive Anti-Obesity Pharmacotherapy in Adolescents and Young Adults After Bariatric Surgery: A Randomized Controlled Pilot Study
1117,HiLo: Pragmatic Trial of Higher vs Lower Serum Phosphate Targets in Patients Undergoing Hemodialysis
1117,Z 31801 - A Pilot Trial of Perinatal Depression Treatment in HIV Infected Women
